2^Росгосстрах Банк^0,102564102564103^1^0^1^0
3^Россельхозбанк^1^0,785180572851806^1^0^0
167^Плюс Банк^0,0384615384615385^0,014321295143213^0^0^1
168^Адмиралтейский^0,0769230769230769^0,0118306351183064^0^0^1
169^Алмазэргиэнбанк^0,0384615384615385^0,0136986301369863^0^0^1
170^Башкомснаббанк^0^0,0155666251556663^0^0^1
171^КАНСКИЙ^0^0,0155666251556663^0^0^1
172^Кузнецкий^0^0,0155666251556663^0^0^1
173^Металлургический коммерческий банк^0,0512820512820513^0,0130759651307597^0^0^1
174^ОРЕНБУРГ^0^0,0155666251556663^0^0^1
175^Почтобанк^0^0,0155666251556663^0^0^1
176^Ассоциация^0,0128205128205128^0,014321295143213^0^0^1
177^ЕВРОАЛЬЯНС^0,0128205128205128^0,014321295143213^0^0^1
178^ИнтехБанк^0,0384615384615385^0,0130759651307597^0^0^1
179^НБД-Банк^0^0,0149439601494396^0^0^1
180^РЕНЕССАНС^0^0,0149439601494396^0^0^1
181^Сибирский Нефтяной банк^0,0384615384615385^0,0130759651307597^0^0^1
182^Снежинский^0^0,0149439601494396^0^0^1
183^СтарБанк^0,0384615384615385^0,0118306351183064^0^0^1
184^АКТИВ БАНК^0,0128205128205128^0,0136986301369863^0^0^1
185^ИНКАХРАН^0,179487179487179^0,00560398505603985^0^0^1
186^ЛОГОС^0^0,014321295143213^0^0^1
187^Промышленный региональный банк^0,0128205128205128^0,0136986301369863^0^0^1
188^Промышленный сберегательный банк^0^0,014321295143213^0^0^1
189^Профессионал Банк^0^0,014321295143213^0^0^1
190^Темпбанк^0,141025641025641^0,0074719800747198^0^0^1
191^Уральский финансовый дом^0,0128205128205128^0,0136986301369863^0^0^1
192^ЦентроКредит^0^0,0136986301369863^0^0^1
193^ББР Банк^0,0641025641025641^0,0105853051058531^0^0^1
194^ГАЗБАНК^0,0128205128205128^0,0130759651307597^0^0^1
195^ИНВЕСТИЦИОННЫЙ СОЮЗ^0,0384615384615385^0,0118306351183064^0^0^1
196^РИАЛ-КРЕДИТ^0^0,0136986301369863^0^0^1
197^РостФинанс^0,0256410256410256^0,012453300124533^0^0^1
198^Форштадт^0^0,0136986301369863^0^0^1
199^Энергобанк^0^0,0136986301369863^0^0^1
