0,4143^0,4957^0,5219^0,9000^0,3558^0,2471^0,2350^0,2073^0,4034^0,1987
0,4131^0,4427^0,6150^0,0753^0,5000^0,9000^0,8487^0,9000^0,1839^0,6574
0,6244^0,3000^0,5705^0,9000^0,2458^0,0598^0,3429^0,0721^0,0873^0,2815
0,4520^0,6445^0,2714^0,9000^0,6563^0,3170^0,2553^0,4472^0,3799^0,0999
0,4351^0,6394^0,4112^0,1906^0,4762^0,4967^0,3171^0,4029^0,1603^0,0718
0,3801^0,0610^0,2556^0,3707^0,6194^0,3954^0,5841^0,4974^0,0539^0,6915
0,3709^0,6197^0,5673^0,5588^0,4167^0,2614^0,3565^0,3558^0,3835^0,2408
0,4484^0,2253^0,2972^0,1836^0,3077^0,4967^0,4563^0,1992^0,5230^0,3318
0,9000^0,5345^0,5953^0,9000^0,1929^0,2883^0,1796^0,2407^0,3991^0,2128
0,2253^0,1531^0,3876^0,4721^0,2976^0,5653^0,4740^0,1515^0,1622^0,6670
0,2093^0,1000^0,2658^0,4270^0,5216^0,2039^0,3165^0,1000^0,0608^0,8234
0,5305^0,5230^0,2825^0,2457^0,1583^0,6309^0,4346^0,4744^0,4997^0,0544
0,2577^0,2669^0,2870^0,0635^0,3077^0,3693^0,4686^0,2493^0,3466^0,2321
0,4366^0,1967^0,5300^0,5554^0,3929^0,1961^0,3629^0,1963^0,1738^0,0000
0,3415^0,1000^0,6518^0,2198^0,2708^0,0719^0,3300^0,1000^0,3884^0,5328
0,5380^0,9000^0,5548^0,4724^0,6563^0,5526^0,4341^0,6862^0,5868^0,1000
0,7547^0,9000^0,4336^0,8784^0,9000^0,0490^0,2518^0,2799^0,9000^0,0000
0,5966^0,3601^0,6919^0,3515^0,4399^0,4150^0,3054^0,6948^0,7047^0,1000
0,9000^0,3013^0,6919^0,6943^0,0889^0,5098^0,8217^0,6226^0,3230^0,8344
0,5404^0,3495^0,6866^0,1888^0,6866^0,2490^0,3322^0,4591^0,8199^0,3971
0,2552^0,2598^0,9000^0,3004^0,1000^0,3039^0,2713^0,4928^0,7875^0,4563
0,1825^0,4263^0,3462^0,2095^0,8692^0,2799^0,1857^0,2670^0,4195^0,5517
0,5302^0,0900^0,5067^0,2896^0,4712^0,9000^0,9000^0,3176^0,3037^0,6007
0,1874^0,0620^0,3151^0,3197^0,3810^0,0625^0,1957^0,0793^0,4668^0,0000
0,2995^0,4176^0,5941^0,3756^0,5216^0,2902^0,2667^0,2927^0,8365^0,2775
0,4433^0,4858^0,5127^0,3707^0,3678^0,2743^0,1617^0,4016^0,5306^0,4588
0,6702^0,5557^0,5775^0,4224^0,3810^0,2824^0,2882^0,3685^0,7183^0,4588
0,9000^0,5775^0,5590^0,3515^0,5482^0,3105^0,3318^0,3504^0,6653^0,0647
0,4722^0,4304^0,5963^0,2612^0,5216^0,4052^0,3674^0,4932^0,4577^0,2907
0,2163^0,4227^0,3092^0,2689^0,4159^0,2373^0,2869^0,2913^0,5723^0,4662
0,2215^0,4826^0,5221^0,5779^0,2738^0,1713^0,1000^0,0711^0,2704^0,4799
0,2920^0,4173^0,0735^0,5348^0,4760^0,2396^0,2396^0,1860^0,1603^0,2808
0,4761^0,9000^0,3787^0,2043^0,3601^0,1948^0,2368^0,4837^0,3831^0,0612
0,6773^0,9000^0,2509^0,3219^0,6578^0,4513^0,3630^0,6024^0,3972^0,4095
0,2722^0,5022^0,1757^0,3935^0,4279^0,1914^0,0596^0,2362^0,3477^0,0000
0,3219^0,6716^0,0684^0,3935^0,3929^0,0608^0,1000^0,1000^0,5092^0,0000
0,1000^0,4770^0,1000^0,5558^0,6226^0,2015^0,1000^0,1696^0,5656^0,2664
0,0709^0,0820^0,2684^0,0647^0,2083^0,6947^0,3321^0,2625^0,4743^0,0000
0,0608^0,4448^0,2974^0,0918^0,1000^0,1000^0,1000^0,1000^0,1000^0,0000
